Date, Close/Last, Volume, Open, High, Low
06/29/2020, $1394.97, 1810180, $1358.18, $1395.6, $1347.01
06/26/2020, $1359.9, 4267698, $1431.39, $1433.45, $1351.99
06/25/2020, $1441.33, 1230474, $1429.9, $1442.9, $1420
06/24/2020, $1431.97, 1756022, $1461.51, $1475.42, $1429.75
06/23/2020, $1464.41, 1429764, $1455.64, $1475.941, $1445.24
06/22/2020, $1451.86, 1542440, $1429, $1452.75, $1423.21
06/19/2020, $1431.72, 3157875, $1444, $1447.8, $1421.3501
06/18/2020, $1435.96, 1581916, $1449.16, $1451.41, $1427.01
06/17/2020, $1451.12, 1549615, $1447.16, $1460, $1431.38
06/16/2020, $1442.72, 1711614, $1445.22, $1455.02, $1425.9001
06/15/2020, $1419.85, 1506096, $1390.8, $1424.7999, $1387.92
06/12/2020, $1413.18, 1946367, $1428.49, $1437, $1386.02
06/11/2020, $1403.84, 1991332, $1442.48, $1454.475, $1402
06/10/2020, $1465.85, 1525153, $1459.54, $1474.259, $1456.27
06/09/2020, $1456.16, 1409249, $1445.36, $1468, $1443.21
06/08/2020, $1446.61, 1404178, $1422.34, $1447.99, $1422.34
06/05/2020, $1438.39, 1735244, $1413.17, $1445.05, $1406
06/04/2020, $1412.18, 1484272, $1430.4, $1438.96, $1404.73
06/03/2020, $1436.38, 1256186, $1438.3, $1446.5522, $1429.7772
06/02/2020, $1439.22, 1278128, $1430.55, $1439.61, $1418.83
06/01/2020, $1431.82, 1217140, $1418.39, $1437.96, $1418
05/29/2020, $1428.92, 1838059, $1416.94, $1432.57, $1413.35
05/28/2020, $1416.73, 1693976, $1396.86, $1440.84, $1396
05/27/2020, $1417.84, 1686142, $1417.25, $1421.74, $1391.29
05/26/2020, $1417.02, 2060643, $1437.27, $1441, $1412.13
05/22/2020, $1410.42, 1309408, $1396.71, $1412.76, $1391.83
05/21/2020, $1402.8, 1385194, $1408, $1415.49, $1393.45
05/20/2020, $1406.72, 1655375, $1389.58, $1410.42, $1387.25
05/19/2020, $1373.485, 1280649, $1386.997, $1392, $1373.485
05/18/2020, $1383.94, 1823964, $1361.75, $1392.325, $1354.25
05/15/2020, $1373.19, 1707747, $1350, $1374.48, $1339
05/14/2020, $1356.13, 1603077, $1335.02, $1357.42, $1323.91
05/13/2020, $1349.33, 1812585, $1377.05, $1385.4822, $1328.4
05/12/2020, $1375.74, 1390600, $1407.12, $1415, $1374.77
05/11/2020, $1403.26, 1412116, $1378.28, $1416.53, $1377.152
05/08/2020, $1388.37, 1388068, $1383.13, $1398.76, $1375.48
05/07/2020, $1372.56, 1399759, $1365.94, $1377.6, $1355.27
05/06/2020, $1347.3, 1215423, $1361.69, $1371.1199, $1347.29
05/05/2020, $1351.11, 1651533, $1337.92, $1373.94, $1337.46
05/04/2020, $1326.8, 1504017, $1308.23, $1327.66, $1299
05/01/2020, $1320.61, 2072639, $1328.5, $1352.0695, $1311
04/30/2020, $1348.66, 2668906, $1324.88, $1352.82, $1322.49
04/29/2020, $1341.48, 3793624, $1341.46, $1359.99, $1325.34
04/28/2020, $1233.67, 2951309, $1287.93, $1288.05, $1232.2
04/27/2020, $1275.88, 1600563, $1296, $1296.15, $1269
04/24/2020, $1279.31, 1640394, $1261.17, $1280.4, $1249.45
04/23/2020, $1276.31, 1566203, $1271.55, $1293.31, $1265.67
04/22/2020, $1263.21, 2093140, $1245.54, $1285.6133, $1242
04/21/2020, $1216.34, 2153003, $1247, $1254.27, $1209.71
04/20/2020, $1266.61, 1695488, $1271, $1281.6, $1261.37
04/17/2020, $1283.25, 1949042, $1284.85, $1294.43, $1271.23
04/16/2020, $1263.47, 2518099, $1274.1, $1279, $1242.62
04/15/2020, $1262.47, 1671703, $1245.61, $1280.46, $1240.4
04/14/2020, $1269.23, 2470353, $1245.09, $1282.07, $1236.93
04/13/2020, $1217.56, 1739828, $1209.18, $1220.51, $1187.5984
04/09/2020, $1211.45, 2175421, $1224.08, $1225.57, $1196.7351
04/08/2020, $1210.28, 1975135, $1206.5, $1219.07, $1188.16
04/07/2020, $1186.51, 2387329, $1221, $1225, $1182.23
04/06/2020, $1186.92, 2664723, $1138, $1194.66, $1130.94
04/03/2020, $1097.88, 2313400, $1119.015, $1123.54, $1079.81
04/02/2020, $1120.84, 1964881, $1098.26, $1126.86, $1096.4
04/01/2020, $1105.62, 2344173, $1122, $1129.69, $1097.45
03/31/2020, $1162.81, 2487983, $1147.3, $1175.31, $1138.14
03/30/2020, $1146.82, 2574061, $1125.04, $1151.63, $1096.48
03/27/2020, $1110.71, 3208495, $1125.67, $1150.6702, $1105.91
03/26/2020, $1161.75, 3573755, $1111.8, $1169.97, $1093.53
03/25/2020, $1102.49, 4081528, $1126.47, $1148.9, $1086.01
03/24/2020, $1134.46, 3344450, $1103.77, $1135, $1090.62
03/23/2020, $1056.62, 4044137, $1061.32, $1071.32, $1013.5361
03/20/2020, $1072.32, 3601750, $1135.72, $1143.99, $1065.49
03/19/2020, $1115.29, 3651106, $1093.05, $1157.9699, $1060.1075
03/18/2020, $1096.8, 4233435, $1056.51, $1106.5, $1037.28
03/17/2020, $1119.8, 3861489, $1093.11, $1130.86, $1056.01
03/16/2020, $1084.33, 4252365, $1096, $1152.2665, $1074.44
03/13/2020, $1219.73, 3700125, $1179, $1219.76, $1117.1432
03/12/2020, $1114.91, 4226748, $1126, $1193.87, $1113.3
03/11/2020, $1215.41, 2611229, $1249.7, $1260.96, $1196.07
03/10/2020, $1280.39, 2611373, $1260, $1281.15, $1218.77
03/09/2020, $1215.56, 3365365, $1205.3, $1254.7599, $1200
03/06/2020, $1298.41, 2660628, $1277.06, $1306.22, $1261.05
03/05/2020, $1319.04, 2561288, $1350.2, $1358.91, $1305.1
03/04/2020, $1386.52, 1913315, $1359.23, $1388.09, $1343.11
03/03/2020, $1341.39, 2402326, $1399.42, $1410.15, $1332
03/02/2020, $1389.11, 2431468, $1351.61, $1390.87, $1326.815
02/28/2020, $1339.33, 3790618, $1277.5, $1341.14, $1271
02/27/2020, $1318.09, 2978300, $1362.06, $1371.7037, $1317.17
02/26/2020, $1393.18, 2204037, $1396.14, $1415.7, $1379
02/25/2020, $1388.45, 2478278, $1433, $1438.14, $1382.4
02/24/2020, $1421.59, 2867053, $1426.11, $1436.97, $1411.39
02/21/2020, $1485.11, 1732273, $1508.03, $1512.215, $1480.44
02/20/2020, $1518.15, 1096552, $1522, $1529.64, $1506.82
02/19/2020, $1526.69, 949268, $1525.07, $1532.1063, $1521.4
02/18/2020, $1519.67, 1121140, $1515, $1531.63, $1512.59
02/14/2020, $1520.74, 1197836, $1515.6, $1520.74, $1507.34
02/13/2020, $1514.66, 929730, $1512.69, $1527.18, $1504.6
02/12/2020, $1518.27, 1167565, $1514.48, $1520.695, $1508.11
02/11/2020, $1508.79, 1344633, $1511.81, $1529.63, $1505.6378
02/10/2020, $1508.68, 1419876, $1474.32, $1509.5, $1474.32
02/07/2020, $1479.23, 1172270, $1467.3, $1485.84, $1466.35
02/06/2020, $1476.23, 1679384, $1450.33, $1481.9997, $1449.57
02/05/2020, $1448.23, 1986157, $1462.42, $1463.84, $1430.56
02/04/2020, $1447.07, 3932954, $1457.07, $1469.5, $1426.3
02/03/2020, $1485.94, 3055216, $1462, $1490, $1458.99
01/31/2020, $1434.23, 2417214, $1468.9, $1470.13, $1428.53
01/30/2020, $1455.84, 1339421, $1439.96, $1457.28, $1436.4
01/29/2020, $1458.63, 1078667, $1458.8, $1465.43, $1446.74
01/28/2020, $1452.56, 1577422, $1443, $1456, $1432.47
01/27/2020, $1433.9, 1755201, $1431, $1438.07, $1421.2
01/24/2020, $1466.71, 1784644, $1493.59, $1495.495, $1465.25
01/23/2020, $1486.65, 1351354, $1487.64, $1495.52, $1482.1
01/22/2020, $1485.95, 1610846, $1491, $1503.2143, $1484.93
01/21/2020, $1484.4, 2036780, $1479.12, $1491.85, $1471.2
01/17/2020, $1480.39, 2396215, $1462.91, $1481.2954, $1458.22
01/16/2020, $1451.7, 1173688, $1447.44, $1451.99, $1440.92
01/15/2020, $1439.2, 1282685, $1430.21, $1441.395, $1430.21
01/14/2020, $1430.88, 1560453, $1439.01, $1441.8, $1428.37
01/13/2020, $1439.23, 1653482, $1436.13, $1440.52, $1426.02
01/10/2020, $1429.73, 1821566, $1427.56, $1434.9292, $1418.35
01/09/2020, $1419.83, 1502664, $1420.57, $1427.33, $1410.27
01/08/2020, $1404.32, 1529177, $1392.08, $1411.58, $1390.84
01/07/2020, $1393.34, 1511693, $1397.94, $1402.99, $1390.38
01/06/2020, $1394.21, 1733149, $1350, $1396.5, $1350
01/03/2020, $1360.66, 1187006, $1347.86, $1372.5, $1345.5436
01/02/2020, $1367.37, 1406731, $1341.55, $1368.14, $1341.55
